Ticket,Magic,Symbol,TF,OsRank,BestOpenShift,CsRank,BestCloseShift,RetOriginal,BestRetOpen,BestRetClose,RetDur25,RetDur50,RetDur100,RetTF1,RetTF2,RetTF3,MAE,MFE
253271624,170411751,USDJPY,240,6.0,-0.5,6.0,-0.3,0.09999999999999432,0.49500000000000455,1.025999999999982,0.3990000000000009,0.7109999999999843,1.0720000000000027,-0.03300000000001546,0.6289999999999907,0.6620000000000061,0.08100000000001728,1.1149999999999807
253292128,200115159,EURJPY,60,6.0,-0.5,7.0,-0.1,0.22299999999998477,0.5869999999999891,0.8319999999999936,0.22100000000000364,0.4960000000000093,0.8689999999999998,0.24899999999999523,0.22100000000000364,0.4410000000000025,0.09499999999999886,0.9240000000000066
253292543,852412345,NAS100,1440,1.0,0.0,3.0,0.5,55.60000000000218,55.60000000000218,65.20000000000073,52.0,134.5,188.40000000000146,210.5,,,0.0,72.20000000000073
253316327,170112120,USDJPY,60,11.0,-0.5,6.0,-0.4,-0.6499999999999773,-0.24799999999999045,-0.06999999999999318,-0.07399999999998386,-2.1059999999999945,,-0.09199999999998454,-0.24399999999999977,-0.18799999999998818,1.070999999999998,0.018000000000000682
253323626,112416190,EURUSD,1440,6.0,-0.1,7.0,-0.2,-0.008340000000000014,0.0034199999999999786,-0.0012399999999999078,,-0.009120000000000017,,,,-0.0018899999999999473,0.008429999999999938,0.00275000000000003
253323703,170428148,USDJPY,240,6.0,-0.5,6.0,-0.3,-0.44999999999998863,-0.2470000000000141,0.19000000000002615,0.1220000000000141,-1.9029999999999916,,0.19000000000002615,0.11100000000001842,0.038000000000010914,0.8269999999999982,0.26200000000000045
253331801,852412345,NAS100,1440,1.0,0.0,10.0,0.1,30.100000000002183,30.100000000002183,55.30000000000291,51.80000000000291,47.5,14.80000000000291,,,-318.59999999999854,0.19999999999708962,70.70000000000073
253332941,822412345,US500,1440,1.0,0.0,7.0,0.5,7.0,7.0,11.300000000000182,6.599999999999454,13.099999999999454,-4.400000000000546,,,-85.5,0.0,14.300000000000182
253347720,822412345,US500,1440,3.0,0.1,6.0,0.5,-79.19999999999982,5.5,-43.0,4.599999999999454,-65.5,-73.90000000000055,,,-67.5,91.90000000000055,5.800000000000182
253349226,120113183,GBPUSD,60,2.0,-0.1,10.0,0.2,0.00019999999999997797,0.000360000000000138,0.010359999999999925,,,,-9.000000000014552e-05,0.00011999999999989797,0.0007499999999998064,0.0008300000000001084,0.012839999999999963
253349775,120148141,GBPUSD,60,6.0,-0.4,9.0,-0.3,0.0030799999999999716,0.010359999999999925,0.004630000000000134,0.0035799999999999166,,,0.003850000000000131,0.0037599999999999856,0.003670000000000062,0.00038999999999989043,0.0049600000000000755
