Ticket,Magic,Symbol,TF,OsRank,BestOpenShift,CsRank,BestCloseShift,RetOriginal,BestRetOpen,BestRetClose,RetDur25,RetDur50,RetDur100,RetTF1,RetTF2,RetTF3,MAE,MFE,TimeToMAE_s,TimeToMFE_s
216499205,800413945,GER40,240,9.00000,0.10000,7.00000,-0.10000,-96.10000,21.40000,50.90000,,-30.00000,-123.00000,-75.00000,-87.90000,-27.60000,164.50000,89.50000,22310.00000,90170.00000
216500850,221518164,GBPJPY,15,9.00000,-0.40000,9.00000,-0.30000,-0.21800,0.29700,0.04400,-0.19500,,,0.12600,0.09400,0.04600,0.23200,0.17800,15082.00000,1282.00000
216501540,910142103,XAUUSD,60,10.00000,-0.50000,9.00000,-0.50000,-13.15000,8.92000,-1.78000,-11.24000,-6.82000,-10.74000,0.30000,-9.61000,-11.24000,19.95000,17.31000,6214.00000,33274.00000
216501541,220149150,GBPJPY,60,10.00000,-0.40000,9.00000,-0.30000,-0.23400,0.29000,0.01400,-0.12500,,,-0.04500,-0.04700,-0.08000,0.24800,0.16200,14998.00000,1198.00000
216502020,200176156,EURJPY,60,9.00000,-0.40000,6.00000,-0.50000,-0.80000,0.31900,-0.00000,-0.24700,-0.05600,-0.10500,0.13900,0.17500,0.16400,0.81600,0.28400,257860.00000,8860.00000
216502026,220198149,GBPJPY,60,6.00000,-0.20000,9.00000,-0.30000,-0.09300,0.29500,0.12100,0.15100,,,0.06500,0.16800,0.05400,0.11000,0.30000,19600.00000,5800.00000
216502860,223038149,GBPJPY,30,11.00000,0.10000,11.00000,-0.50000,-0.73800,-0.33900,-0.33500,-0.27900,-0.27000,-0.02000,-0.36000,-0.33500,-0.40300,0.74400,0.00000,7247.00000,
216502862,220156108,GBPJPY,60,11.00000,-0.50000,4.00000,-0.30000,0.10900,0.71700,0.23800,-0.26300,0.16800,,-0.09900,-0.18000,-0.24900,0.60200,0.50400,13167.00000,83487.00000
216504123,220141135,GBPJPY,60,11.00000,-0.50000,4.00000,-0.20000,0.06200,0.71100,0.28000,-0.15600,-0.08200,,-0.31300,-0.28500,-0.60100,0.64800,0.45800,10860.00000,81180.00000
216504766,203011191,EURJPY,30,7.00000,-0.40000,6.00000,-0.50000,-0.65000,0.28900,0.14700,0.11800,-0.01000,0.08800,0.10700,0.20200,0.35100,0.64300,0.45700,258057.00000,9057.00000
216506857,220132119,GBPJPY,60,6.00000,-0.20000,9.00000,-0.30000,-0.08600,0.26800,0.13600,0.12100,,,0.08300,0.17300,0.06100,0.10000,0.31000,19684.00000,5884.00000
216506864,220428175,GBPJPY,240,11.00000,-0.40000,9.00000,-0.30000,-0.26000,0.23700,-0.01600,-0.06700,,,-0.16900,-0.23300,,0.27800,0.13200,14908.00000,1108.00000
216506866,220421159,GBPJPY,240,11.00000,-0.40000,9.00000,-0.30000,-0.26000,0.23800,-0.01700,-0.22500,,,-0.17000,-0.23400,,0.27900,0.13100,14907.00000,1107.00000
216507890,20301733,EURJPY,30,11.00000,-0.40000,11.00000,0.20000,-0.60000,0.56700,-0.16400,-0.37100,-0.21400,-0.43400,0.05200,0.09900,0.05500,0.60200,0.14100,103662.00000,2862.00000
216516489,91303683,XAUUSD,30,6.00000,-0.50000,2.00000,0.10000,8.22000,17.24000,8.61000,6.53000,3.32000,4.76000,6.34000,3.59000,3.51000,0.00000,8.44000,,2087.00000
216521805,22042161,GBPJPY,240,11.00000,-0.50000,4.00000,-0.20000,0.19100,0.70700,0.34300,-0.01800,0.36100,,-0.47200,0.04000,-0.07400,0.52400,0.58200,14614.00000,84934.00000
216521856,20153090,EURJPY,15,5.00000,-0.50000,11.00000,0.50000,-0.18300,-0.05500,0.31500,-0.05700,0.15200,0.13600,-0.00800,0.01500,-0.00500,0.11800,0.41800,75785.00000,56285.00000
216523640,201514104,EURJPY,15,4.00000,-0.20000,2.00000,-0.10000,0.60900,0.91600,0.71000,0.18400,-0.08800,0.80800,-0.00400,-0.05800,-0.06400,0.19000,0.92200,76483.00000,211423.00000
216527533,120100069,GBPUSD,60,5.00000,-0.30000,5.00000,0.30000,0.00600,0.00875,0.00781,0.00208,0.00202,0.00785,0.00100,0.00050,0.00173,0.00030,0.00613,1695.00000,86895.00000
